X,Y,GNISID,NAME,CLASS,STATE,FIPSST,COUNTYNAME,FIPSCO,ELEV_METER,ELEV_FEET,TOPOMAP,DATE_CREAT,DATE_EDITE,FIPS_C
-91.23005191,43.56981718,646987,Lock and Dam 8,Dam,WI,55,Vernon,123,189,620,Genoa,1/11/1980,4/24/2014,55123
-90.64345708,43.58663214,1792076,La Farge 1840C48 Dam,Dam,WI,55,Vernon,123,241,791,La Farge,4/29/1998,,55123
-90.33845536,43.64829901,1792268,Hillsboro 2WP1317 Dam,Dam,WI,55,Vernon,123,290,951,Hillsboro,4/29/1998,,55123
-90.74012484,43.70496273,1792424,Klinkner D 2592.2 Dam,Dam,WI,55,Vernon,123,342,1122,Dell,4/29/1998,,55123
-90.75193467,43.71176521,1792426,Mlsna D 2592.2 Dam,Dam,WI,55,Vernon,123,346,1135,Westby,4/29/1998,,55123
-90.87367872,43.69726832,1792428,Coon Creek 14 D 6025 Dam,Dam,WI,55,Vernon,123,318,1043,Westby,4/29/1998,,55123
-90.86837634,43.6800256,1792430,Coon Creek 15 D 6025 Dam,Dam,WI,55,Vernon,123,376,1234,Westby,4/29/1998,,55123
-90.85147231,43.6794028,1792432,Coon Creek 16 D 6025 Dam,Dam,WI,55,Vernon,123,334,1096,Westby,4/29/1998,,55123
-90.84060882,43.6882959,1792434,Coon Creek 17 D 6025 Dam,Dam,WI,55,Vernon,123,337,1106,Westby,4/29/1998,,55123
-90.8990216,43.58837245,1792436,Bad Axe 2 D 2592.1 Dam,Dam,WI,55,Vernon,123,358,1175,Viroqua,4/29/1998,,55123
-91.00345539,43.48496598,1792438,Bad Axe 24 D 2592.1 Dam,Dam,WI,55,Vernon,123,261,856,Retreat,4/29/1998,,55123
-90.9701223,43.48163288,1792440,Bad Axe 17 D 2592.1 Dam,Dam,WI,55,Vernon,123,274,899,Rising Sun,4/29/1998,,55123
-90.95273806,43.48965178,1792442,Bad Axe 16 D 2592.1 Dam,Dam,WI,55,Vernon,123,295,968,Rising Sun,4/29/1998,,55123
-90.9628176,43.53198865,1792444,Bad Axe 34 D 2592.1 Dam,Dam,WI,55,Vernon,123,282,925,Viroqua,4/29/1998,,55123
-90.9607365,43.53677035,1792446,Bad Axe 33 D 2592.1 Dam,Dam,WI,55,Vernon,123,274,899,Viroqua,4/29/1998,,55123
-90.75012474,43.67329674,1792448,West Fork Kickapoo 3 D 2592.2 Dam,Dam,WI,55,Vernon,123,325,1066,Westby,4/29/1998,,55123
-90.74751726,43.62869876,1792450,West Fork Kickapoo 12 D 2592.2 Dam,Dam,WI,55,Vernon,123,335,1099,Dell,4/29/1998,,55123
-90.8147106,43.62159269,1792452,West Fork Kickapoo 4 D 2592.2 Dam,Dam,WI,55,Vernon,123,302,991,Avalanche,4/29/1998,,55123
-90.79806149,43.68864788,1792454,West Fork Kickapoo 1 D 2592.2 Dam,Dam,WI,55,Vernon,123,317,1040,Westby,4/29/1998,,55123
-90.82182829,43.55032132,1792456,West Fork Kickapoo 17 D 2592.2 Dam,Dam,WI,55,Vernon,123,290,951,Avalanche,4/29/1998,,55123
-90.82095319,43.60922796,1792458,West Fork Kickapoo 5 D 2592.2 Dam,Dam,WI,55,Vernon,123,330,1083,Avalanche,4/29/1998,,55123
-90.80149827,43.65995605,1792460,West Fork Kickapoo 16 D 2592.2 Dam,Dam,WI,55,Vernon,123,324,1063,Westby,4/29/1998,,55123
-90.49012322,43.62496503,1792635,Herbeck H 208 Dam,Dam,WI,55,Vernon,123,312,1024,Yuba,4/29/1998,,55123
-91.23179261,43.56996388,1793080,Lock and Dam Number 8,Dam,WI,55,Vernon,123,189,620,Genoa,4/29/1998,,55123
-91.21565302,43.52244209,1793130,Genoa Fish Hatchery Pond 3 Dam,Dam,WI,55,Vernon,123,191,627,Genoa,4/29/1998,8/12/2012,55123
-91.21835502,43.52216309,1793132,Genoa Fish Hatchery Pond One Dam,Dam,WI,55,Vernon,123,193,633,Genoa,4/29/1998,8/12/2012,55123
-91.01143947,43.61113514,1793251,Bad Axe 12 2WP2542 Dam,Dam,WI,55,Vernon,123,273,896,Newton,4/29/1998,,55123
-90.78941455,43.72451837,1793310,Von Ruden G-8509 Dam,Dam,WI,55,Vernon,123,402,1319,Westby,4/29/1998,,55123
-90.62679078,43.65663063,1793610,Charles Roberts G-4826 Dam,Dam,WI,55,Vernon,123,296,971,Dell,4/29/1998,,55123
