X,Y,OBJECTID,GNISID,NAME,CLASS,STATE,FIPSST,COUNTYNAME,FIPSCO,ELEV_METER,ELEV_FEET,TOPOMAP,DATE_CREAT,DATE_EDITE,FIPS_C
611598.8061,154361.6387,521161,646987,Lock and Dam 8,Dam,WI,55,Vernon,123,189,620,Genoa,1/11/1980,4/24/2014,55123
767063.5561,160204.1963,1462936,1792076,La Farge 1840C48 Dam,Dam,WI,55,Vernon,123,241,791,La Farge,4/29/1998,,55123
847760.2315,182967.6516,1463119,1792268,Hillsboro 2WP1317 Dam,Dam,WI,55,Vernon,123,290,951,Hillsboro,4/29/1998,,55123
741426.7051,203311.424,1463275,1792424,Klinkner D 2592.2 Dam,Dam,WI,55,Vernon,123,342,1122,Dell,4/29/1998,,55123
738302.5989,205789.7841,1463277,1792426,Mlsna D 2592.2 Dam,Dam,WI,55,Vernon,123,346,1135,Westby,4/29/1998,,55123
706104.6592,200516.5378,1463279,1792428,Coon Creek 14 D 6025 Dam,Dam,WI,55,Vernon,123,318,1043,Westby,4/29/1998,,55123
707500.6469,194229.464,1463281,1792430,Coon Creek 15 D 6025 Dam,Dam,WI,55,Vernon,123,376,1234,Westby,4/29/1998,,55123
711972.6651,193998.3108,1463283,1792432,Coon Creek 16 D 6025 Dam,Dam,WI,55,Vernon,123,334,1096,Westby,4/29/1998,,55123
714849.0205,197237.9959,1463285,1792434,Coon Creek 17 D 6025 Dam,Dam,WI,55,Vernon,123,337,1106,Westby,4/29/1998,,55123
699346.5055,160828.7349,1463287,1792436,Bad Axe 2 D 2592.1 Dam,Dam,WI,55,Vernon,123,358,1175,Viroqua,4/29/1998,,55123
671575.2978,123190.4042,1463289,1792438,Bad Axe 24 D 2592.1 Dam,Dam,WI,55,Vernon,123,261,856,Retreat,4/29/1998,,55123
680419.8057,121953.7595,1463291,1792440,Bad Axe 17 D 2592.1 Dam,Dam,WI,55,Vernon,123,274,899,Rising Sun,4/29/1998,,55123
685040.1309,124866.9397,1463293,1792442,Bad Axe 16 D 2592.1 Dam,Dam,WI,55,Vernon,123,295,968,Rising Sun,4/29/1998,,55123
682398.3566,140305.3499,1463295,1792444,Bad Axe 34 D 2592.1 Dam,Dam,WI,55,Vernon,123,282,925,Viroqua,4/29/1998,,55123
682954.0129,142047.2132,1463297,1792446,Bad Axe 33 D 2592.1 Dam,Dam,WI,55,Vernon,123,274,899,Viroqua,4/29/1998,,55123
738786.7926,191766.7989,1463299,1792448,West Fork Kickapoo 3 D 2592.2 Dam,Dam,WI,55,Vernon,123,325,1066,Westby,4/29/1998,,55123
739483.7202,175509.6242,1463301,1792450,West Fork Kickapoo 12 D 2592.2 Dam,Dam,WI,55,Vernon,123,335,1099,Dell,4/29/1998,,55123
721690.6489,172918.7591,1463303,1792452,West Fork Kickapoo 4 D 2592.2 Dam,Dam,WI,55,Vernon,123,302,991,Avalanche,4/29/1998,,55123
726104.0092,197361.4298,1463305,1792454,West Fork Kickapoo 1 D 2592.2 Dam,Dam,WI,55,Vernon,123,317,1040,Westby,4/29/1998,,55123
719793.7071,146939.0609,1463307,1792456,West Fork Kickapoo 17 D 2592.2 Dam,Dam,WI,55,Vernon,123,290,951,Avalanche,4/29/1998,,55123
720035.4443,168412.116,1463309,1792458,West Fork Kickapoo 5 D 2592.2 Dam,Dam,WI,55,Vernon,123,330,1083,Avalanche,4/29/1998,,55123
725192.6048,186902.4253,1463311,1792460,West Fork Kickapoo 16 D 2592.2 Dam,Dam,WI,55,Vernon,123,324,1063,Westby,4/29/1998,,55123
807643.6116,174283.46,1463481,1792635,Herbeck H 208 Dam,Dam,WI,55,Vernon,123,312,1024,Yuba,4/29/1998,,55123
611137.7328,154417.5986,1463899,1793080,Lock and Dam Number 8,Dam,WI,55,Vernon,123,189,620,Genoa,4/29/1998,,55123
615325.327,137072.2077,1463948,1793130,Genoa Fish Hatchery Pond 3 Dam,Dam,WI,55,Vernon,123,191,627,Genoa,4/29/1998,8/12/2012,55123
614608.0842,136974.246,1463950,1793132,Genoa Fish Hatchery Pond One Dam,Dam,WI,55,Vernon,123,193,633,Genoa,4/29/1998,8/12/2012,55123
669582.3848,169187.99,1464069,1793251,Bad Axe 12 2WP2542 Dam,Dam,WI,55,Vernon,123,273,896,Newton,4/29/1998,,55123
728392.3125,210437.2969,1464128,1793310,Von Ruden G-8509 Dam,Dam,WI,55,Vernon,123,402,1319,Westby,4/29/1998,,55123
771431.6311,185728.6848,1464418,1793610,Charles Roberts G-4826 Dam,Dam,WI,55,Vernon,123,296,971,Dell,4/29/1998,,55123
